customer_id,tenure_months,monthly_charges,support_tickets,contract,payment_method,churned,account_closed_flag
C00000,69,79.89,6,two-year,card,0,0
C00001,46,,1,one-year,electronic_check,0,0
C00002,50,94.87,0,month-to-month,card,0,0
C00003,65,50.69,3,one-year,bank_transfer,0,0
C00004,42,68.6,2,month-to-month,electronic_check,0,0
C00005,56,88.28,3,one-year,bank_transfer,0,0
C00006,61,84.6,2,month-to-month,bank_transfer,0,0
C00007,17,96.77,4,two-year,card,0,0
C00008,4,79.93,2,month-to-month,card,1,1
C00009,22,62.26,2,two-year,mail,0,0
C00010,21,79.05,0,one-year,electronic_check,1,1
C00011,63,44.94,2,month-to-month,bank_transfer,0,0
C00012,66,29.01,2,two-year,card,0,0
C00013,1,,3,month-to-month,mail,1,1
C00014,36,68.62,1,two-year,card,0,0
C00015,60,77.71,3,two-year,bank_transfer,0,0
C00016,10,27.56,3,two-year,bank_transfer,0,0
C00017,58,60.87,1,one-year,card,0,0
C00018,9,55.0,1,one-year,electronic_check,0,0
C00019,34,48.39,0,two-year,electronic_check,0,0
C00020,59,15.0,2,month-to-month,card,0,0
C00021,22,61.63,1,two-year,,0,0
C00022,25,,2,one-year,bank_transfer,0,0
C00023,21,79.52,2,two-year,card,0,0
C00024,52,54.98,1,month-to-month,card,0,0
C00025,19,69.63,1,one-year,mail,1,1
C00026,72,88.92,2,month-to-month,bank_transfer,0,0
C00027,33,15.0,4,month-to-month,electronic_check,1,1
C00028,35,66.89,4,month-to-month,card,0,0
C00029,37,83.58,1,one-year,mail,0,0
C00030,42,87.05,5,month-to-month,mail,0,0
C00031,40,112.52,3,two-year,mail,0,0
C00032,37,98.38,2,month-to-month,electronic_check,0,0
C00033,72,77.81,1,month-to-month,bank_transfer,0,0
C00034,59,77.55,2,two-year,bank_transfer,0,0
C00035,58,89.67,1,month-to-month,mail,0,0
C00036,51,56.52,4,month-to-month,bank_transfer,1,1
C00037,45,69.0,2,one-year,card,0,0
C00038,25,92.66,4,month-to-month,electronic_check,0,0
C00039,72,118.94,0,two-year,bank_transfer,0,0
C00040,34,,2,month-to-month,card,0,0
C00041,16,68.79,1,two-year,bank_transfer,0,0
C00042,61,74.96,2,month-to-month,card,0,0
C00043,12,103.58,1,two-year,card,0,0
C00044,62,69.24,3,month-to-month,mail,0,0
C00045,45,106.73,1,two-year,bank_transfer,0,0
C00046,9,45.83,1,month-to-month,bank_transfer,1,1
C00047,4,65.35,0,month-to-month,mail,0,0
C00048,33,,1,one-year,electronic_check,0,0
C00049,3,89.66,2,one-year,card,1,1
C00050,11,96.13,4,one-year,card,1,1
C00051,38,32.26,2,one-year,bank_transfer,0,0
C00052,70,47.12,4,month-to-month,bank_transfer,0,0
C00053,34,78.42,1,month-to-month,electronic_check,1,1
C00054,59,53.53,1,one-year,electronic_check,0,0
C00055,67,31.94,2,one-year,card,0,0
C00056,60,95.96,1,one-year,electronic_check,0,0
C00057,46,82.35,2,month-to-month,electronic_check,0,0
C00058,32,82.33,0,two-year,bank_transfer,0,0
C00059,38,58.11,1,month-to-month,bank_transfer,0,0
C00060,20,95.72,0,two-year,mail,0,0
C00061,36,64.0,1,month-to-month,electronic_check,0,0
C00062,28,97.41,3,one-year,electronic_check,0,0
C00063,18,47.21,2,two-year,electronic_check,0,0
C00064,72,48.65,0,month-to-month,bank_transfer,0,0
C00065,1,75.12,0,one-year,electronic_check,0,0
C00066,7,52.44,3,month-to-month,card,1,1
C00067,14,86.89,3,month-to-month,mail,0,0
C00068,70,76.5,3,month-to-month,electronic_check,0,0
C00069,50,46.93,0,one-year,mail,0,0
C00070,64,71.82,1,month-to-month,card,0,0
C00071,15,61.22,0,two-year,electronic_check,0,0
C00072,52,92.9,0,month-to-month,electronic_check,0,0
C00073,27,54.19,1,month-to-month,bank_transfer,0,0
C00074,36,59.02,1,month-to-month,electronic_check,0,0
C00075,1,100.28,0,month-to-month,card,1,1
C00076,45,125.96,2,month-to-month,electronic_check,0,0
C00077,60,119.98,0,month-to-month,mail,0,0
C00078,48,71.58,0,month-to-month,mail,0,0
C00079,12,,2,month-to-month,mail,0,0
C00080,39,108.34,3,one-year,bank_transfer,1,1
C00081,20,66.89,1,month-to-month,mail,0,0
C00082,70,45.59,2,one-year,electronic_check,0,0
C00083,64,,2,month-to-month,mail,0,0
C00084,14,81.29,0,month-to-month,electronic_check,1,1
