customer_id,tenure_months,monthly_charges,support_tickets,contract,payment_method,churned
C00000,69,50.04,1,two-year,mail,0
C00001,37,75.11,1,month-to-month,mail,0
C00002,55,69.43,2,one-year,card,0
C00003,41,103.98,2,one-year,mail,0
C00004,13,65.3,1,month-to-month,electronic_check,1
C00005,37,81.02,1,month-to-month,electronic_check,0
C00006,68,15.0,0,month-to-month,mail,0
C00007,70,28.06,0,one-year,electronic_check,0
C00008,70,78.18,2,two-year,card,0
C00009,45,73.23,2,month-to-month,card,0
C00010,23,92.72,2,two-year,card,0
C00011,41,41.19,2,month-to-month,electronic_check,0
C00012,47,62.88,0,month-to-month,electronic_check,1
C00013,21,15.0,1,month-to-month,bank_transfer,0
C00014,70,49.09,5,one-year,bank_transfer,0
C00015,40,59.17,1,month-to-month,card,1
C00016,26,67.58,2,two-year,card,0
C00017,34,56.13,1,month-to-month,bank_transfer,0
C00018,8,93.85,3,month-to-month,mail,1
C00019,44,33.8,1,two-year,mail,0
C00020,25,37.92,1,month-to-month,card,0
C00021,67,81.51,2,one-year,electronic_check,0
C00022,22,60.52,1,month-to-month,bank_transfer,0
C00023,18,103.41,1,month-to-month,card,1
C00024,44,87.23,4,one-year,card,1
C00025,23,78.32,0,two-year,electronic_check,0
C00026,25,27.15,0,month-to-month,card,0
C00027,29,,2,month-to-month,electronic_check,0
C00028,50,76.7,2,month-to-month,electronic_check,0
C00029,20,53.9,3,two-year,card,0
C00030,66,,2,month-to-month,bank_transfer,1
C00031,26,77.48,1,one-year,card,0
C00032,56,49.22,1,month-to-month,bank_transfer,0
C00033,68,42.16,1,two-year,bank_transfer,0
C00034,50,94.19,0,one-year,electronic_check,1
C00035,28,71.21,3,two-year,electronic_check,1
C00036,49,71.37,2,month-to-month,card,0
C00037,56,94.04,1,one-year,mail,0
C00038,55,113.33,2,one-year,mail,0
C00039,3,15.0,1,month-to-month,card,0
C00040,7,106.36,0,two-year,bank_transfer,0
C00041,22,94.95,0,month-to-month,mail,0
C00042,26,62.61,4,month-to-month,mail,1
C00043,51,99.49,2,one-year,card,0
C00044,7,67.91,2,month-to-month,bank_transfer,1
C00045,33,109.93,1,one-year,bank_transfer,1
C00046,58,98.48,2,month-to-month,bank_transfer,0
C00047,65,80.31,0,month-to-month,card,0
C00048,5,54.44,1,one-year,electronic_check,0
C00049,32,72.18,0,month-to-month,bank_transfer,0
C00050,22,48.11,1,month-to-month,card,0
C00051,45,52.45,4,month-to-month,card,1
C00052,60,74.49,2,one-year,bank_transfer,0
C00053,43,66.8,2,month-to-month,electronic_check,0
C00054,43,53.32,1,month-to-month,bank_transfer,1
C00055,44,111.23,2,month-to-month,mail,0
C00056,22,56.17,3,one-year,mail,0
C00057,48,69.27,1,month-to-month,electronic_check,0
C00058,13,69.94,0,month-to-month,card,1
C00059,37,15.23,1,one-year,electronic_check,0
C00060,66,135.41,1,month-to-month,bank_transfer,0
C00061,14,55.6,1,month-to-month,card,0
C00062,7,88.46,0,one-year,card,0
C00063,5,16.24,1,one-year,mail,0
C00064,3,65.81,0,month-to-month,electronic_check,1
C00065,19,29.03,3,month-to-month,mail,1
C00066,21,57.31,0,month-to-month,electronic_check,0
C00067,7,101.64,2,month-to-month,bank_transfer,1
C00068,61,89.53,0,one-year,bank_transfer,0
C00069,9,85.5,0,month-to-month,mail,0
C00070,21,82.52,3,month-to-month,mail,1
C00071,21,26.12,0,two-year,card,0
C00072,41,41.51,4,one-year,bank_transfer,0
C00073,43,83.65,1,month-to-month,card,0
C00074,32,103.99,1,month-to-month,bank_transfer,1
C00075,25,81.37,1,month-to-month,mail,0
C00076,48,84.23,4,month-to-month,mail,0
C00077,57,83.63,1,month-to-month,card,0
C00078,34,87.46,1,one-year,mail,0
C00079,70,82.02,1,two-year,card,0
C00080,56,42.37,1,one-year,,0
C00081,24,94.32,0,two-year,card,0
